CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication,VL_Million,AN_Million,PerformancePositive
MA0000038952,3895,AFG CASH MANAGEMENT,AFG ASSET MANAGEMENT,FCP,MONÉTAIRE,"]0  0,5]",MONIA,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,SAHAM BANK,AFG ASSET MANAGEMENT,2828504493.8,1841.49,0.018371,3.3e-05,0.000793,0.002668,0.007396,0.014232,0.027703,0.061867,0.10131,0.153454,2026-08-31,Quotidienne,0.00184149,2828.5044938,True
MA0000038994,3899,AFG DYNAMIC FUND,AFG ASSET MANAGEMENT,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,SAHAM BANK,AFG ASSET MANAGEMENT,1064132978.73,8518.85,0.001919,-0.015905,-0.013498,0.052608,0.029865,0.002924,-0.098146,0.341824,0.585495,0.559198,2026-08-31,Quotidienne,0.00851885,1064.13297873,True
MA0000039455,3945,AFG FLEXIBLE FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,75% MBI GLOBAL + 25% MASI RB,QUOTIDIENNE,FNPP,MIXTE,0.03,0.03,0.02,BCP,AFG ASSET MANAGEMENT,919530837.71,1343.23,-0.010031,-0.005221,-0.00228,0.023452,0.015015,6.7e-05,-0.039108,0.191247,0.379956,,2026-08-31,Quotidienne,0.00134323,919.53083771,False
MA0000039448,3944,AFG GOV BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,]4  8],MBI GLOBAL,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFG ASSET MANAGEMENT,2589063157.97,1223.12,-0.010317,-0.000858,0.000941,0.004468,0.000106,-0.008528,-0.024361,0.086165,0.194616,,2026-08-31,Quotidienne,0.0012231199999999998,2589.06315797,False
MA0000038978,3897,AFG INCOME FUND,AFG ASSET MANAGEMENT,FCP,OMLT,]3   7],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,SAHAM BANK,AFG ASSET MANAGEMENT,1098214187.82,2419.02,-0.012145,-0.002203,-0.000475,0.006935,0.002366,-0.010261,-0.025037,0.078942,0.181133,0.205844,2026-08-31,Quotidienne,0.00241902,1098.21418782,False
MA0000038960,3896,AFG LIQUIDITY FUND,AFG ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,SAHAM BANK,AFG ASSET MANAGEMENT,6550480047.67,1925.87,0.021411,-3.6e-05,0.001024,0.002937,0.008758,0.016344,0.030533,0.071416,0.119295,0.178349,2026-08-31,Quotidienne,0.0019258699999999999,6550.48004767,True
MA0000038986,3898,AFG OPTIMAL FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,70% MBI GLOBAL + 30% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,SAHAM BANK,AFG ASSET MANAGEMENT,2137113071.67,4637.82,-0.022365,-0.00839,-0.005769,0.030606,0.012357,-0.017234,-0.079953,0.15586,0.316388,0.270441,2026-08-31,Quotidienne,0.00463782,2137.11307167,False
MA0000039372,3937,AFG T-BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,"]1,1  10]",MBI MLT,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,ATTIJARIWAFA BANK,AFG ASSET MANAGEMENT,1228196278.37,1125.34,-0.03092,-0.001783,0.000249,0.006286,0.001299,-0.010985,-0.037309,0.119462,0.250621,,2026-08-31,Quotidienne,0.0011253399999999998,1228.1962783699998,False
MA0000036873,3687,AFRICAPITAL CASH,AFRICAPITAL MANAGEMENT,FCP,OCT,]0.5  1.1],MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.02,0.02,0.02,ATTIJARIWAFA BANK,AFRICAPITAL MANAGEMENT,1642306715.01,1602.52,0.01637,-0.000212,0.000912,0.002521,0.006766,0.01274,0.023608,0.058999,0.101918,0.143979,2026-08-31,Quotidienne,0.00160252,1642.30671501,True
MA0000036774,3677,AFRICAPITAL LIQUIDITY,AFRICAPITAL MANAGEMENT,FCP,MONÉTAIRE,"]0  0,5]",Repo jj capitalisé,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFRICAPITAL MANAGEMENT,1042884562.91,1589.58,0.015706,3.8e-05,0.000711,0.002207,0.006121,0.011885,0.023726,0.05156,0.086499,0.128274,2026-08-31,Quotidienne,0.00158958,1042.8845629099999,True
MA0000040107,4010,AL AMAL,UPLINE CAPITAL MANAGEMENT,FCP,OCT,"]0,5 1,1]",90% MBI CT + 10% MBI MT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.0025,BCP,UPLINE CAPITAL MANAGEMENT,5005470953.23,3272.39,0.01857,-2.1e-05,0.000927,0.00273,0.007882,0.014566,0.026342,0.06205,0.103866,0.149264,2026-08-31,Quotidienne,0.00327239,5005.470953229999,True
MA0000041162,4116,AL BARID TRESORERIE,CDG CAPITAL GESTION,FCP,MONÉTAIRE,"<=0,5",50% TMP + 50% MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,CDG CAPITAL,AL BARID BANK,653307.46,750.51,0.011619,0.00012,0.000533,0.001695,0.004726,0.009062,0.017172,0.037189,0.085493,0.235367,2026-08-31,Quotidienne,0.00075051,0.65330746,True
MA0000040438,4043,AL IDDIKHAR CHAABI KASSIR AL MADA,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,"]1,1   5,1]",MBI MT,QUOTIDIENNE,FGP,MIXTE,0.0,0.0,0.008,BCP,UPLINE CAPITAL MANAGEMENT,228706476.49,211.07,0.009228,-0.000142,0.001091,0.003041,0.007206,0.009663,0.011162,0.082799,0.145501,0.183791,2026-08-31,Quotidienne,0.00021107,228.70647649,True
MA0000040412,4041,AL IDDIKHAR CHAABI MOUTAWASSIT AL MADA,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,]3  7],30% MBI MT + 70% MBI MLT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BCP,UPLINE CAPITAL MANAGEMENT,365008603.33,227.21,-0.015555,-0.001187,0.001543,0.006646,0.008567,-0.016747,-0.014059,0.078256,0.174151,0.16214,2026-08-31,Quotidienne,0.00022721000000000002,365.00860332999997,False
MA0000040420,4042,AL IDDIKHAR CHAABI TAWIL AL MADA,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,]4  8],80% MBI MLT + 20% MBI LT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BCP,UPLINE CAPITAL MANAGEMENT,4302439.8,229.97,-0.003078,-0.000435,0.001611,0.003535,0.001175,-0.005406,-0.007509,0.070325,0.14487,0.125979,2026-08-31,Quotidienne,0.00022997,4.3024398,False
MA0000036600,3660,ALIF I,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,"]3,1   7,1]",50% MBI MT + 50% MBI MLT,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,BCP,UPLINE CAPITAL MANAGEMENT,2797486994.54,1862.86,0.005316,-0.00036,0.001382,0.003566,0.006913,0.006462,0.00492,0.086304,0.180565,0.18195,2026-08-31,Quotidienne,0.0018628599999999998,2797.48699454,True
MA0000038234,3823,ALIF III,BMCE CAPITAL GESTION,FCP,OMLT,"]1,1   10]",50 MBI MT + 50% MBI MLT,QUOTIDIENNE,FNPP,CAPITALISANT,0.03,0.03,0.02,BANK OF AFRICA,BMCE CAPITAL GESTION,3447050980.66,1324.56,0.007301,-0.0004,0.001482,0.003911,0.006528,0.006084,0.007385,0.093241,0.188117,0.183837,2026-08-31,Quotidienne,0.00132456,3447.05098066,True
MA0000038739,3873,ALIF V,SAHAM CAPITAL GESTION,FCP,OMLT,"]1,1  10]",50% MBI MT + 50% MBI MLT,QUOTIDIENNE,FNPP,CAPITALISANT,0.03,0.02,0.02,SAHAM BANK,SAHAM BANK,2085886431.25,1247.68,0.007721,-0.000329,0.001493,0.003999,0.007087,0.008511,0.010398,0.090858,0.183095,0.185399,2026-08-31,Quotidienne,0.0012476800000000001,2085.88643125,True
MA0000040123,4012,ALISTITMAR CHAABI TRESORERIE,UPLINE CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"]0  0,5]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.0025,BCP,UPLINE CAPITAL MANAGEMENT,212615570.27,599477.74,0.014317,0.000139,0.000642,0.002064,0.005745,0.011147,0.021849,0.047221,0.078227,0.116658,2026-08-31,Quotidienne,0.59947774,212.61557027,True
MA0000037202,3720,ATLAS EQUILIBRE,ATLAS CAPITAL MANAGEMENT,FCP,OCT,]0.5  1.1],MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.005,0.005,0.0075,ATTIJARIWAFA BANK,ATLAS CAPITAL MANAGEMENT,332884015.65,146.73,0.019312,-6.8e-05,0.000955,0.002665,0.007761,0.014871,0.028097,0.062568,0.104229,0.151094,2026-08-31,Quotidienne,0.00014673,332.88401565,True
MA0000039463,3946,ATLAS LIQUIDITE,ATLAS CAPITAL MANAGEMENT,FCP,OCT,"0,5 ; 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,BANK OF AFRICA,ATLAS CAPITAL MANAGEMENT,52060009.32,148.32,0.018052,-6.7e-05,0.000945,0.002636,0.007677,0.014154,0.026578,0.060413,0.073383,0.070671,2026-08-31,Quotidienne,0.00014832,52.06000932,True
MA0000042053,4205,ATLAS MONEBANQUES,ATLAS CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"[0  0,5]",MONIA,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,CIH BANK,ATLAS CAPITAL MANAGEMENT,1076212686.08,123.57,0.017037,8.1e-05,0.00081,0.002434,0.006844,0.013118,0.025137,0.053453,0.08901,0.131801,2026-08-31,Quotidienne,0.00012356999999999998,1076.21268608,True
MA0000042061,4206,ATLAS OBLIGBANCAIRES,ATLAS CAPITAL MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,CIH BANK,ATLAS CAPITAL MANAGEMENT,1172063785.51,125.76,0.01863,-8e-05,0.000875,0.002551,0.007612,0.014112,0.026193,0.059121,0.099301,0.144834,2026-08-31,Quotidienne,0.00012576000000000002,1172.06378551,True
MA0000042046,4204,ATLAS TRESORERIE,ATLAS CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"[0  0,5]",MONIA,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,CIH BANK,ATLAS CAPITAL MANAGEMENT,275332459.47,126.35,0.01543,7.9e-05,0.000713,0.0023,0.006372,0.012339,0.02258,0.049331,0.084456,0.127018,2026-08-31,Quotidienne,0.00012634999999999998,275.33245947,True
MA0000036063,3606,ATTIJARI ACTIONS,WAFA GESTION,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,ATTIJARIWAFA BANK,WAFA GESTION,878333855.28,951.19,0.042583,-0.015555,-0.012643,0.058972,0.039836,0.026837,-0.036545,0.344001,0.516493,0.438668,2026-08-31,Quotidienne,0.0009511900000000001,878.33385528,True
MA0000042145,4214,ATTIJARI CASH GARANTI,WAFA GESTION,FCP,CONTRACTUEL,-,MONIA,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.0015,ATTIJARIWAFA BANK,WAFA GESTION,3774526304.11,1091.07,0.013139,0.000165,0.000688,0.002076,0.005363,0.010138,0.020073,0.042122,0.071273,,2026-08-31,Quotidienne,0.00109107,3774.52630411,True
MA0000030520,3052,ATTIJARI DIVERSIFIE,WAFA GESTION,SICAV,DIVERSIFIÉ,-,30% MASI + 70% MBI MT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,ATTIJARIWAFA BANK,WAFA GESTION,5122978170.68,782.75,0.088332,-0.007544,-0.005034,0.045465,0.0285,0.061716,0.053273,,0.401622,0.364532,2026-08-31,Quotidienne,0.00078275,5122.97817068,True
MA0000042129,4212,ATTIJARI FIXED INCOME DISTRIBUTION,WAFA GESTION,FCP,OMLT,[5  9[,MBI MT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,ATTIJARIWAFA BANK,WAFA GESTION; ATTIJARIWAFA BANK,371611131.42,109.11,-0.001373,-0.001281,0.001101,0.00331,-0.003471,-0.003925,-0.004288,0.040829,0.090655,,2026-08-31,Quotidienne,0.00010911,371.61113142,False
MA0000036659,3665,ATTIJARI LIQUIDITE,WAFA GESTION,FCP,MONÉTAIRE,"[0  0,5[",TMP,QUOTIDIENNE,FGP,CAPITALISANT,0.02,0.02,0.02,ATTIJARIWAFA BANK,WAFA GESTION,3524826445.65,1590.34,0.012433,0.000151,0.000648,0.001947,0.005018,0.009579,0.019096,0.041364,0.069381,0.105524,2026-08-31,Quotidienne,0.00159034,3524.82644565,True
MA0000042111,4211,ATTIJARI MIXED DISTRIBUTION,WAFA GESTION,FCP,DIVERSIFIÉ,-,70% MBI MT + 30% MASI,QUOTIDIENNE,FGP,DISTRIBUANT,0.02,0.02,0.02,ATTIJARIWAFA BANK,WAFA GESTION; ATTIJARIWAFA BANK,2601473.97,152.64,0.043478,-0.010694,-0.006509,0.046196,0.032398,0.037873,0.000634,0.269703,0.419048,,2026-08-31,Quotidienne,0.00015263999999999998,2.6014739700000002,True
MA0000040339,4033,ATTIJARI MONETAIRE JOUR,WAFA GESTION,FCP,MONÉTAIRE,"[0  0,5[",TMP,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,ATTIJARIWAFA BANK,WAFA GESTION,489540812.2,240.21,0.011964,0.000167,0.000625,0.001877,0.004853,0.009286,0.018141,0.038656,0.064949,0.0973,2026-08-31,Quotidienne,0.00024021,489.5408122,True
MA0000036048,3604,ATTIJARI MONETAIRE PLUS,WAFA GESTION,FCP,OCT,"[0,5  1,1[",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,ATTIJARIWAFA BANK,WAFA GESTION,957518704.32,232.0,0.016029,-4.3e-05,0.000776,0.00229,0.006857,0.012128,0.022837,0.050677,0.085786,0.118611,2026-08-31,Quotidienne,0.000232,957.5187043200001,True
MA0000030553,3055,ATTIJARI TRESORERIE,WAFA GESTION,SICAV,MONÉTAIRE,"[0  0,5[",TMP,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,ATTIJARIWAFA BANK,WAFA GESTION,3652801710.81,5692.92,0.014153,4.6e-05,0.000636,0.001975,0.005715,0.010973,0.020904,0.044902,0.075099,0.108068,2026-08-31,Quotidienne,0.00569292,3652.80171081,True
MA0000037046,3704,AXA MONETAIRE,CIH CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"<=0,5",TMI(jj),QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,634883709.34,160000.93,0.015057,0.000125,0.000775,0.002275,0.006165,0.011731,0.022419,0.04865,0.08244,0.121906,2026-08-31,Quotidienne,0.16000092999999999,634.88370934,True
MA0000039471,3947,AZ TAWFIR,WAFA GESTION,FCP,OMLT,"]1,1  13]",MBI MLT,QUOTIDIENNE,FNPP,MIXTE,0.03,0.015,0.02,BCP,WAFA GESTION,382321352.59,842117.51,-0.014549,-0.000942,0.001113,0.003692,-0.003444,-0.007979,-0.022831,0.081668,0.240799,0.11658,2026-08-31,Quotidienne,0.84211751,382.32135258999995,False
MA0000030413,3041,BMCI CASH,CIH CAPITAL MANAGEMENT,SICAV,OCT,"[0,6  1,1[",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.0067,BMCI,CIH CAPITAL MANAGEMENT,31367855.8,196.51,0.021256,-0.000102,0.000713,0.004961,0.01075,0.018503,0.03247,0.063884,0.094824,0.116154,2026-08-31,Quotidienne,0.00019651,31.3678558,True
MA0000041899,4189,BMCI MONETAIRE PLUS,CIH CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"[0  0,5]",TMP INTERBANCAIRE,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,271865586.35,146460.52,0.017852,9e-05,0.000769,0.003093,0.007824,0.014556,0.026903,0.054751,0.084689,0.117532,2026-08-31,Quotidienne,0.14646051999999998,271.86558635,True
MA0000041873,4187,BMCI PREMIUM EQUITY GROWTH,CIH CAPITAL MANAGEMENT,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,CAPITALISANT,0.002,0.001,0.02,BMCI,CIH CAPITAL MANAGEMENT,236419758.76,22868.27,-0.012893,-0.014835,-0.011711,0.05174,0.04021,,,,0.504433,0.488266,2026-08-31,Quotidienne,0.02286827,236.41975875999998,False
MA0000041816,4181,BMCI PREMIUM MONEY MARKET,CIH CAPITAL MANAGEMENT,FCP,MONÉTAIRE,"]0  0,5]",TMI(jj),QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,554465990.74,14670.97,0.014697,6.4e-05,0.00076,0.002287,0.006328,0.011682,0.021674,0.046347,0.076644,0.109804,2026-08-31,Quotidienne,0.01467097,554.46599074,True
MA0000041857,4185,BMCI PREMIUM OPPORTUNITY I,CIH CAPITAL MANAGEMENT,FCP,DIVERSIFIÉ,-,50% MASI Rentabilite nette + 50% MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.002,0.009,0.02,BMCI,CIH CAPITAL MANAGEMENT,204092314.81,15658.58,-0.016348,-0.003902,-0.000939,0.027297,0.014844,,,,0.139819,0.118221,2026-08-31,Quotidienne,0.01565858,204.09231481,False
MA0000039281,3928,BMCI PREMIUM SHORT BOND DIST,CIH CAPITAL MANAGEMENT,FCP,OCT,"]0,5  1,1]",MBI CT,QUOTIDIENNE,FGP,DISTRIBUANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,4769265.39,134.23,0.013669,-0.000223,0.000671,0.002016,0.005318,0.010997,0.019288,0.047772,0.092543,0.133143,2026-08-31,Quotidienne,0.00013423,4.769265389999999,True
MA0000041840,4184,BMCI PREMIUM SHORT TERM BOND,CIH CAPITAL MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,988246805.64,126.59,0.017032,-7.9e-05,0.00087,0.002614,0.007561,0.013369,0.024688,0.058003,0.097443,0.133202,2026-08-31,Quotidienne,0.00012659,988.2468056399999,True
MA0000030736,3073,BMCI TRESO PLUS,CIH CAPITAL MANAGEMENT,SICAV,MONÉTAIRE,"[0,6  1,1[",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.02,BMCI,CIH CAPITAL MANAGEMENT,1625834885.36,168.57,0.013955,5.9e-05,0.000653,0.002081,0.005848,0.010915,0.020708,0.044942,0.076368,0.112673,2026-08-31,Quotidienne,0.00016857,1625.8348853599998,True
MA0000030132,3013,BMCI TRESORERIE,CIH CAPITAL MANAGEMENT,SICAV,MONÉTAIRE,"[0  0,5[",TMJ(jj),QUOTIDIENNE,FGP,CAPITALISANT,0.0125,0.005,0.0195,BMCI,CIH CAPITAL MANAGEMENT,166735313.17,123507.64,0.010409,7.9e-05,0.000479,0.001515,0.004176,0.008079,0.015588,0.033623,0.057915,0.084008,2026-08-31,Quotidienne,0.12350764,166.73531316999998,True
MA0000041337,4133,CAM ACTIONS,MAROGEST,FCP,ACTIONS,-,CFG 25 FLOTTANT,QUOTIDIENNE,FGP,CAPITALISANT,0.02,0.015,0.02,CDG CAPITAL,MAROGEST,4238116.41,142.12,-0.076543,-0.015789,-0.012438,0.041477,0.031499,-0.064815,-0.150508,0.118615,0.277368,0.202064,2026-08-31,Quotidienne,0.00014212,4.23811641,False
MA0000039117,3911,CAM OBLIBANQUES,MAROGEST,FCP,OCT,"]0,5 1,1]",85% MBI CT + 15% MBI MT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,CIH BANK,CAM; MSIN; CIH; MAROGEST,1946558797.01,1147.47,0.018823,-7e-05,0.000977,0.002779,0.007604,0.014464,0.028227,0.065719,0.110297,,2026-08-31,Quotidienne,0.00114747,1946.55879701,True
MA0000041329,4132,CAM OBLIGATIONS,MAROGEST,FCP,OMLT,[2.5  6.5[,MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.01,0.005,0.01,CDG CAPITAL,MAROGEST,1009512348.32,140.25,-0.008133,-0.001282,0.000499,0.006964,0.002215,-0.004543,-0.014683,0.079095,0.167194,0.029736,2026-08-31,Quotidienne,0.00014025,1009.51234832,False
MA0000039125,3912,CAM OBLIRENDEMENT,MAROGEST,FCP,OMLT,"]1,1   5,1]",100% MBI MT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,CIH BANK,CAM; MSIN; CIH; MAROGEST,391823414.22,1152.87,-0.004086,-0.001256,0.000747,0.005512,0.003421,-0.004404,-0.006917,0.075489,0.140631,,2026-08-31,Quotidienne,0.0011528699999999998,391.82341422,False
MA0000040271,4027,CAP MONETAIRE PREMIERE,WAFA GESTION,FCP,MONÉTAIRE,"[0,1  0,5[",TMP,QUOTIDIENNE,FGP,CAPITALISANT,0.0,0.0,0.0065,ATTIJARIWAFA BANK,WAFA GESTION,24486180843.51,213753.04,0.016168,4e-05,0.00073,0.002311,0.006737,0.01237,0.024413,0.052776,0.088311,0.132256,2026-08-31,Quotidienne,0.21375304,24486.18084351,True
MA0000040248,4024,CAP OBLIGATIONS,WAFA GESTION,FCP,OCT,"[0,5  1,1[",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.01,0.0,0.02,ATTIJARIWAFA BANK,WAFA GESTION,2040402441.21,315.79,0.019631,-6.3e-05,0.000951,0.002667,0.007915,0.014358,0.02994,0.060374,0.096151,0.113819,2026-08-31,Quotidienne,0.00031579000000000004,2040.40244121,True
MA0000035883,3588,CAPITAL DIVIDENDES PLUS,BMCE CAPITAL GESTION,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,MIXTE,0.02,0.02,0.02,BANK OF AFRICA,BMCE CAPITAL GESTION,5557135.95,8419.9,0.013403,-0.013182,-0.008284,0.056427,0.041107,0.000856,,,0.60016,0.545503,2026-08-31,Quotidienne,0.0084199,5.55713595,True
